image,ED1,CC1,ED2,CC2
1_500_0.1,44512.325517770914,0.12546504184782298,42450.281483165694,0.19445101016746968
1_500_0.2,51653.8136442993,-0.016844541423998726,45026.59397511653,0.19452540845856062
1_500_0.3,50998.399916075796,-0.009081435520984664,44573.84702939606,0.20002391070564976
1_500_0.4,44470.382784500514,0.1273447441915577,42243.22413121423,0.20270821159564087
1_500_0.5,50444.572463249206,0.018635931774030525,44136.721604577746,0.22069922110239942
1_500_0.6,49309.09125100563,0.051012399602334335,43242.459296390625,0.24446368558233952
1_500_0.7,51711.80195081196,-0.03951444524300495,46560.83341178506,0.12186816368930561
1_500_0.8,50369.72174828842,0.020229794016469432,44043.014599366375,0.22309105521477934
1_500_0.9,51591.10835211819,-0.014012934906592731,45343.30641891921,0.18313200760900486
1_500_1.0,49612.48665406724,0.03380124931933421,43519.02032445124,0.23064951346434145
1_1000_0.1,50917.09492891361,-0.0014478408050872223,44364.81559749798,0.21044767625775834
1_1000_0.2,48244.95634778831,0.06692179169323652,42905.431893875626,0.24275164355888876
1_1000_0.3,47176.14224372315,0.09507347061060292,41880.927138734645,0.27141343987491534
1_1000_0.4,48404.618323048475,0.06786399015305457,43107.18077072543,0.2409973255430189
1_1000_0.5,48879.05881868021,0.04905867338656673,43517.7162888863,0.22527674948855406
1_1000_0.6,45539.42612725813,0.13052611127102254,41480.92873839736,0.26919453519223485
1_1000_0.7,43234.14744157678,0.10519680107311632,40698.56101878788,0.21474868329419505
1_1000_0.8,51313.906701789914,-0.016744994093066203,44821.65403016716,0.19453311476296398
1_1000_0.9,46288.32452141684,0.11724382149287056,41968.06047460378,0.25517653164930276
1_1000_1.0,49461.39557270903,0.03932326227566973,42983.88500356849,0.25223308355974133
